🕘️更新时间,#genre#
2025-04-14 06:29:45,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV-1,http://139.196.214.238/rtp/239.45.3.145:5140
CCTV-1,http://139.196.151.191/rtp/239.45.3.145:5140
CCTV-1,http://800686.xyz:35455/gaoma/cctv1.m3u8
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV-2,http://139.196.214.238/rtp/239.45.1.109:5140
CCTV-2,http://139.196.151.191/rtp/239.45.1.109:5140
CCTV-2,http://b.zgjok.com:35455/gaoma/cctv2.m3u8
CCTV-2,http://800686.xyz:35455/gaoma/cctv2.m3u8
CCTV-3,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3
CCTV-3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3,http://139.196.214.238/rtp/239.45.1.68:5140
CCTV-3,http://139.196.151.191/rtp/239.45.1.68:5140
CCTV-3,http://b.zgjok.com:35455/gaoma/cctv3.m3u8
CCTV-4,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctveurope&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope
CCTV-4,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope&tai=cctv1&VideoName=cctv1&channelID=cctveurope
CCTV-4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV-4,http://139.196.214.238/rtp/239.45.0.2:5140
CCTV-4,http://139.196.151.191/rtp/239.45.0.2:5140
CCTV-5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5,http://139.196.214.238/rtp/239.45.1.69:5140
CCTV-5,http://139.196.151.191/rtp/239.45.1.69:5140
CCTV-5,http://b.zgjok.com:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5,http://800686.xyz:35455/gaoma/cctv5.m3u8
CCTV-5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://b.zgjok.com:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+,http://800686.xyz:35455/gaoma/cctv5p.m3u8
CCTV-5+,http://36.105.100.208:35455/gaoma/cctv5p.m3u8
CCTV-5+,http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
CCTV-6,http://139.196.214.238/rtp/239.45.1.70:5140
CCTV-6,http://139.196.151.191/rtp/239.45.1.70:5140
